"id";"address";"contact_number";"date_of_birth";"email";"full_name";"password";"role";"username"
1;"501 E 32nd Street";"2052533374";"1996-12-31";"DS@gmail.com";"Diksha Sharma";"$2a$10$gsFbIM39BrXRlqn/kjLJzu2EtkZUc3nuIfvKxvGH/2bYlasaPxBNS";"CUSTOMER";"Diksha"
2;"876 Maple Drive";"9998887777";"1993-09-27";"example_user@gmail.com";"Emily White";"$2a$10$z7.HnqwjqzkLlTVdfBsa8etzlIemDB17alqgyX5Lb8Zn82QDCku56";"CUSTOMER";"EmilyW"
3;"123 Pine Lane";"5551112233";"2000-05-09";"user123@mail.com";"Sam Smith";"$2a$10$oW7GyfYbuNh2.pLkCVTpQeANOrrGMS.T.iFcG./3d0nxlIN7GsM1e";"CUSTOMER";"SamS"
4;"45 Oak Street";"1234567890";"1985-07-21";"testuser@example.com";"Alice Johnson";"$2a$10$I8/z/UGkslqst7AYxQ.nOu3JGAUuOc/vZGtg88K9nyt7AGdV9pl9q";"CUSTOMER";"AliceJ"
5;"789 Elm Avenue";"9876543210";"1990-12-14";"dummyuser1@gmail.com";"John Doe";"$2a$10$7OyWNibAdP80JQezcbTdJOBsq9.JM7JSqN3dBfOVyp7S1/IuctzeG";"CUSTOMER";"JohnD"
6;"456 Birch Lane";"7894561230";"1988-03-17";"user456@mail.com";"Mike Brown";"$2a$10$v.fYNl9nVHK36YP9GTWxi.JNB1zYQgmNFU4yRk6l16E2Xs7V8EpbW";"CUSTOMER";"MikeB"
7;"789 Cedar Street";"9876543211";"1991-05-21";"user789@mail.com";"Sophie Miller";"$2a$10$2g/jYIqNXNXPcdqeuiIN1eeHZgNQ2I9fWMM2fb5v6XPpqZZ/FpuGG";"CUSTOMER";"SophieM"
8;"101 Pine Avenue";"1239874560";"1984-08-13";"user101@mail.com";"Daniel Johnson";"$2a$10$3yoCGqzaQnWEzWdP7iu9Z.oTshwtFNbYypr5lWLf3H0HjwT8xRc/S";"CUSTOMER";"DanielJ"
9;"222 Oak Lane";"3334445555";"1992-11-29";"user222@mail.com";"Olivia Wilson";"$2a$10$TByBEdHUVbMv0lWTfqFyAuwy9qB7iCNL/DVnGRJNqFEUxzwuNpqdq";"CUSTOMER";"OliviaW"
10;"456 Pine Drive";"7890123456";"1986-06-24";"user4567@mail.com";"Matthew Harris";"$2a$10$yBw/b5UGKOItfWFkWKQeeuConBya0l3r0WI7mYWmSxwYWtJEJRPia";"CUSTOMER";"MatthewH"
11;"789 Cedar Lane";"9876543210";"1995-04-01";"user7890@mail.com";"Emma Turner";"$2a$10$nQFt48zxglclFZYmbTyp1evWgfrsesiC8zEQOOfA6cmE50N6dOJEK";"CUSTOMER";"EmmaT"
12;"987 Elm Avenue";"6549873210";"1998-09-14";"user987@mail.com";"Ryan Baker";"$2a$10$ayu0FkeV4BmSjd7S8w57EeraHd/.v6BKqpeU7ErKAAO81pjMFY7xW";"CUSTOMER";"RyanB"
13;"123 Cedar Drive";"4567890123";"1987-07-07";"user12345@mail.com";"Ava Mitchell";"$2a$10$.hHylLXXenVesch7jc5G9.EbGdmRjb.tpd4GltGVWKglMVu8Hu07O";"CUSTOMER";"AvaM"
14;"456 Pine Lane";"7894560123";"1994-02-13";"user45678@mail.com";"Nicholas Walker";"$2a$10$0VcRuDHhjUTLx/AlquVql.xscKgaoWvs4P2PFA1cm3xAfjjMI2V6m";"CUSTOMER";"NicholasW"
15;"789 Birch Lane";"9876543219";"1993-11-19";"user78901@mail.com";"Zoe Turner";"$2a$10$h7O4mZ6YMCOGItMQut70le9Xi4BNIDDjqn21GHVPutmrAUeL/ROr2";"CUSTOMER";"ZoeT"
16;"101 Oak Street";"1239876543";"1986-03-17";"user10111@mail.com";"Jacob Mitchell";"$2a$10$AF.9CdmwpGF2flkl/KO8uudvcBH1L921EYjPvEYucmK.l/aDwQfg2";"CUSTOMER";"JacobM"
17;"222 Cedar Drive";"3334445556";"1999-08-07";"user22222@mail.com";"Lily Baker";"$2a$10$9HLI3fnAntXjufLFA7H4K.p8nwwpuMvUWUd0WTZEynpTPazJMrGAC";"CUSTOMER";"LilyB"
